model_id,isDescribable,description
00016984,True,A rectangular block with a central through hole and a U-shaped cutout at one end.
00017069,True,A U-shaped bracket with two mounting holes and a flat base.
00011305,True,"A shallow, curved rectangular dish with a flat base and raised edges."
00015143,True,A tapered cylindrical rod with a central groove.
00012287,True,A ring with a triangular pyramid on top.
00018370,True,A U-shaped bracket with a flat base and two mounting holes.
00013431,True,A flat rectangular bar with three evenly spaced rectangular cutouts along one edge.
00015199,True,A flat circular lid with two rectangular mounting tabs and a central recessed feature.
00019296,False,
00012618,True,A cylindrical sleeve with a recessed base and a small rectangular cutout on the side.
00019785,True,A rectangular block with beveled edges.
00014956,True,A U-shaped bracket with a vertical mounting block and a central hole.
00014753,True,A rectangular block with a recessed rectangular cavity and an extended tab on one side.
00017749,True,A square bracket with a central circular hole and a mounting tab with holes.
00015184,True,A rectangular block with a small circular hole on one face.
00017084,True,A U-shaped bracket with mounting holes on flat bases.
00018201,True,A cylindrical bracket with a flat mounting base and a curved support.
00018663,True,A shallow cylindrical container with a perforated lid and a recessed interior.
00019852,True,A cylindrical wheel with a central hub and three circular holes.
00012810,True,"A long, flat, angled bracket with multiple holes along its length."
00014257,True,A hollow cylindrical container with a tapered body and a central hole at the bottom.
00011552,True,A rectangular block with a triangular prism on top.
00013633,True,A rectangular block with a cylindrical rod protruding from one face and four corner holes.
00017020,True,A rectangular block with two rounded rectangular through holes and a notched top edge.
00019729,True,A curved hollow shell mounted on a rectangular base.
00015561,True,An L-shaped profile with a stepped cutout and a flat base.
00017602,True,A square bracket with a central circular hole and a mounting tab with holes.
00017372,True,A bracket with a central cylindrical hole and two mounting flanges.
00018973,True,"A semi-cylindrical block with a flat back, featuring a large circular hole and a stepped edge."
00019503,True,A flat rectangular plate with three circular cutouts and one rectangular cutout.
00016857,True,"A chair-like structure with a flat seat, vertical backrest, and multiple vertical rods extending from the back."
00015671,True,A rectangular block with multiple circular holes of varying sizes.
00010832,True,A cylindrical bushing with a central hole and a flange at one end.
00018339,True,An L-shaped bracket with a protruding rectangular tab and a stepped feature.
00010109,True,A rectangular block with a cylindrical protrusion and two circular holes on one face.
00016676,True,A bracket with a vertical backplate and two horizontal mounting flanges.
00015173,True,A rectangular block with rounded edges and a central through hole.
00012396,True,A circular disc with concentric raised features and a central protruding cylindrical hub.
00016313,True,A rectangular block with two notched sides.
00013809,True,A circular ring with two rectangular protrusions and internal cutouts.
00016883,True,A square base with a central raised dome and cylindrical extensions on two sides.
00011563,True,A rectangular block with a cylindrical hole through one face.
00011481,True,A vertical rectangular block with a flared base and two side extensions.
00015687,True,A long cross-shaped rod with a consistent profile.
00014464,True,A cylindrical rod with a flanged end and a central through hole.
00013940,True,A rectangular block with a central cylindrical rod and a square base with four corner holes.
00013629,True,A long cylindrical rod with a flange and a threaded end.
00019091,True,"A series of flat circular washers with central holes, arranged in increasing size."
00016380,True,A semi-circular ring with a rectangular tab on one end.
00014482,True,A flat circular lid with a rectangular extension and a central recessed feature.
00012626,True,A T-shaped pipe connector with three cylindrical openings.
00018496,True,A flat rectangular plate with two vertical rods on one side.
00017460,True,A U-shaped bracket with mounting holes on flat bases.
00014121,True,A square plate with a central square cutout and two raised features on top.
00011539,True,An L-shaped bracket with a hole on one end.
00017045,True,A rectangular block with multiple circular holes on its faces.
00016426,True,A rectangular block with a stepped edge and a recessed groove along one side.
00016407,True,An arrow-shaped flat object with a circular hole at the tail and a rectangular slot along the shaft.
00019824,True,"A flat, oval-shaped flange with a central circular hole and two smaller holes on the sides."
00015887,True,A tapered cylindrical rod with a rounded end.
00019674,True,A rectangular frame with internal cutouts and open ends.
00017638,True,A rectangular block with a central hole and two perpendicular rectangular extensions.
00010609,True,A cylindrical rod with a tapered end and a mounting hole.
00015386,True,A U-shaped bracket with a flat base and vertical side flanges.
00012355,True,A cylindrical base with a vertical rectangular block featuring a central slot.
00014649,True,A small rectangular table with four cylindrical legs.
00013487,True,A cylindrical cup with external vertical tabs and a recessed base.
00010633,True,A T-shaped bracket with a central circular hole and a vertical slot.
00018256,True,A square plate with four cylindrical pegs on top and a central recessed feature underneath.
00012245,True,A tapered square column with a central circular hole through its top face.
00012166,True,A hemispherical base with two vertical rectangular tabs and a central circular indentation.
00015027,True,A rectangular block with a cylindrical protrusion and a rectangular cutout.
00014759,True,"A bracket with two vertical plates on a rectangular base, featuring a sloped connecting section."
00013167,True,A cylindrical flange with a central hole and three mounting holes.
00017950,True,"A curved, hollow, symmetrical pipe section with flared ends and a central bulge."
00012092,True,A circular ring with a crossbar and a protruding pin.
00018247,True,A hexagonal prism with a central hole and two side holes.
00018596,True,A flanged cylindrical hub with multiple bolt holes and a central hole.
00014771,True,An L-shaped bracket with a rectangular cutout and stepped features.
00017288,True,A U-shaped bracket with two circular holes on the base and extended side flanges.
00012753,True,A cylindrical connector with a central hole and a flange.
00019379,True,A rectangular base with an angled cylindrical rod mounted on a vertical rectangular support.
00017373,True,A U-shaped bracket with mounting holes on a flat base.
00012823,True,A U-shaped bracket with a central circular hole and flat mounting surfaces.
00018751,True,A hexagonal tapered nut with a central through hole.
00014767,True,A hemispherical cap with four circular cutouts and a central hexagonal recess.
00014084,True,"A curved, hollow rectangular beam segment."
00015341,True,"A bracket with a flat base, two vertical supports, and a curved central feature."
00018002,True,"A flat, elongated oval plate with multiple circular holes."
00019734,True,A rectangular block with a central slot and two through holes.
00012596,True,An oval-shaped block with rounded edges and a flat top and bottom.
00011744,True,A square plate with rounded corners and nine evenly spaced holes.
00017108,True,A bracket with a central cylindrical hole and two mounting flanges with holes.
00018106,True,A cylindrical disc with a central hole and multiple surrounding holes.
00016581,True,A cylindrical rod.
00016666,True,A flat circular lid with a slightly raised edge and multiple small holes around the perimeter.
00012645,True,A triangular bracket with a rectangular base and a cutout.
00013522,True,A cylindrical rod with a flared base and a recessed top.
00017303,True,A U-shaped bracket with mounting holes on the base.
00019221,True,A cylindrical bolt with a hexagonal socket head and a threaded shaft.
00012907,True,A circular ring with an inner groove and a small cylindrical protrusion.
00014611,True,An L-shaped bracket with a central circular hole.
00019749,True,A flat circular lid with two rectangular mounting tabs and a central recessed feature.
00018640,True,A cylindrical flange with multiple holes and a central raised hub.
00015939,True,A flat circular lid with a hexagonal base and small holes at each corner.
00016624,True,A gear-like object with six rectangular protrusions and a central hole.
00013668,True,A hexagonal bolt head with a conical top and a cylindrical shaft.
00013559,True,An L-shaped bracket with multiple holes for mounting.
00019032,True,"A cylindrical component with a central hole, a flange, and a tapered section."
00016616,True,A cylindrical object with a slightly tapered shape.
00018970,True,A cylindrical rod with a hexagonal socket head.
00017344,True,A block with a central circular hole and a sloped base.
00018536,True,A tapered rod with a rectangular paddle-like end.
00017346,True,A right-angled bracket with a central circular hole and a stepped base.
00011251,True,A flat semi-circular plate connected to a triangular plate with a notch.
00017745,True,A rectangular block with a central cylindrical rod and four corner holes on one face.
00012812,True,A cylindrical rod with a flanged end.
00015686,True,A flat octagonal plate with multiple holes and a central recessed feature.
00017939,True,A cylindrical ring with an internal groove and two small cutouts.
00019645,True,A square flange with a central circular hole and four corner mounting holes.
00012161,True,A rectangular block with two protruding tabs and two circular holes on the top surface.
00016043,True,A square cup with a handle.
00011128,True,A cylindrical bearing with an inner circular cutout and a recessed groove.
00013000,True,A cylindrical base with a flower-shaped top and a central rectangular indentation.
00014920,True,A rectangular block with a central rectangular cutout and four circular holes around it.
00012228,True,"A flat, thick letter 'P' shaped object."
00011625,True,A flat rectangular plate with a small square cutout near one corner.
00010078,True,A teardrop-shaped bracket with a central circular hole and a smaller hole at the narrow end.
00011284,True,A flat rectangular plate with four protruding round knobs at the corners.
00015260,True,A tapered block with rounded edges and two through holes.
00017011,True,A bent rod with a flat mounting plate featuring a central hole.
00017153,True,A bracket with a central cylindrical hole and two mounting holes on a flat base.
00010225,True,A square flange with a central cylindrical protrusion and four corner holes.
00016767,True,A circular ring with two opposing rectangular tabs and a central hole.
00014691,True,A cylindrical peg with a flared head and a central hole.
00017064,True,A U-shaped bracket with two circular holes on the base.
00014572,True,A cylindrical base with a vertical rectangular block featuring a circular hole.
00011757,True,A square plate with rounded corners and multiple through holes.
00012292,True,A circular ring with a triangular arrowhead feature on one side.
00012346,True,A hollow square-based pyramid with internal oval cutouts.
00016881,True,A hexagonal prism with a central cylindrical rod and a top circular indentation.
00015734,True,A tapered cylindrical block with a central through hole and two side holes.
