model_id,isDescribable,description,token_count
00018258,True,A hexagonal block with a central circular hole.,866
00014086,True,A C-shaped clip with a rectangular cutout.,866
00019488,True,A cylindrical rod with a flanged base.,866
00012291,True,A circular ring with a protruding conical tip.,866
00019664,True,A spool-shaped object with a central hole.,866
00013445,True,A flat rectangular plate.,866
00011960,True,A cylindrical body with a central rod and a flanged base with bolt holes.,866
00018298,True,A conical cup with a handle and a hole in the base.,866
00018726,True,A hollow conical tube with a circular opening at each end.,866
00012086,True,A rectangular block.,866
00015602,True,A rectangular block with a cylindrical protrusion on top.,866
00011634,True,A rectangular block with a circular hole and a cylindrical protrusion on one face.,866
00016061,True,A cylindrical disc with a central hole and a groove around its circumference.,866
00019525,True,A tapered cylindrical cup with a central hole at the base.,866
00018561,True,A three-pronged fork with a long handle and a flanged base.,866
00013708,True,A cylindrical disc with a central hole and a groove around its circumference.,866
00019797,True,A cylindrical rod with a conical tip and a square flanged base.,866
00016226,True,An L-shaped flat plate with a sloped edge.,866
00017591,True,"A flat, square plate.",866
00018122,True,A cylindrical rod with a flanged base and a conical tip.,866
00010925,True,A cylindrical bushing with a flanged base and a central hole.,866
00015760,True,A tapered cylindrical rod with a hole through the center and side holes.,866
00019487,True,A cylindrical disc with a central circular indentation.,866
00017135,True,A square pyramid with a circular hole through the center.,866
00015867,True,A cylindrical sleeve with a partial side cutout.,866
00010565,True,A hollow cylindrical tube.,866
00010531,True,A flat bracket with a rectangular block on top and a circular hole.,866
00013526,True,A cylindrical rod with a conical tip and a flanged base.,866
00019679,True,A cube with a triangular prism on top of one face.,866
00019486,True,A hollow cylindrical rod with a conical tip.,866
00014113,True,A conical frustum with a central through hole.,866
00012869,True,A cylindrical rod with a hexagonal head and a flanged base.,866
00018315,True,A cylindrical rod with a flanged base.,866
00015618,True,A square frame with a hollow center.,866
00016808,True,A tapered cylindrical tube with a flanged base and a hollow interior.,866
00011726,True,A cylindrical pulley with a central hole and flanged edges.,866
00013889,True,A rectangular block with a smaller rectangular protrusion on top.,866
00015417,True,A cylindrical sleeve with a flanged end and multiple holes.,866
00013232,True,A bolt with a hexagonal head and a separate hexagonal nut.,866
00015757,True,A cylindrical rod.,866
00013305,True,"A bracket with a vertical plate and a perpendicular base, featuring a circular hole.",866
00016893,True,A thick ring or washer.,866
00016797,True,A cylindrical rod with a conical tip and a flanged base.,866
00017327,True,A rectangular block with a stepped top surface.,866
00019190,True,A rectangular frame.,866
00011471,True,A flat rectangular plate.,866
00019733,True,A hexagonal plate.,866
00013007,True,A rectangular block with a stepped cutout and an L-shaped profile.,866
00014059,True,A flat rectangular plate.,866
00019270,True,A stepped rectangular block with multiple levels.,866
00011163,True,A cylindrical sleeve with a central through hole.,866
00014192,True,A wheel-like object with a central hub and a grooved outer rim.,866
00012713,True,A thick disc with a central hole.,866
00017593,True,A rectangular block.,866
00010407,True,A rectangular block with a trapezoidal prism on top.,866
00019354,True,A cylindrical rod with a conical tip and a flanged base.,866
00019748,True,A hollow cone.,866
00018727,True,A cylindrical rod with a conical tip and a flanged base.,866
00018169,True,A rectangular frame.,866
00018610,True,A cylindrical tube with a flanged base and a conical tip.,866
00010415,True,A cylindrical rod with a central through hole.,866
00017515,True,A cylindrical bushing with a flanged end and a central hole.,866
00012874,True,A cube with a triangular prism on top.,866
00019744,True,A tapered rod with a hole at the wider end.,866
00017811,True,A hollow cone.,866
00013207,True,A flat rectangular plate.,866
00015279,True,A cone.,866
00019021,True,A thin ring.,866
00010210,True,A cylindrical rod with a hollow center and a flanged base.,866
00011695,True,A cylindrical component with a central hole and a flanged section.,866
00015456,True,A rounded rectangular block with a hole and notched edges.,866
00018967,True,A toroidal ring.,866
00010628,True,A long cylindrical rod.,866
00012991,True,An L-shaped bracket.,866
00011599,True,A rectangular block with a sloped top and a through hole.,866
00010629,True,A tapered cylindrical rod.,866
00017239,True,A T-shaped pipe connector.,866
00013208,True,A cylindrical rod with a conical tip and a flanged base.,866
00014234,True,A cylindrical disc with a central groove.,866
00011967,True,A hollow cylindrical tube with a tapered shape.,866
00019991,True,A cube with a pyramid on top of one face.,866
00013105,True,A flat rectangular plate with four circular holes.,866
00012462,True,A cylindrical rod with a conical tip and a flanged base.,866
00015374,True,A rectangular block with a tapered end.,866
00019668,True,An open rectangular box with slanted sides.,866
00019508,True,A flat rectangular plate.,866
00013784,True,A flat circular ring.,866
00017267,True,A square pyramid with a circular hole through the center.,866
00019608,True,A hollow cylindrical rod with a flanged base.,866
00010287,True,A hexagonal rod.,866
00017452,True,A rectangular block with a diagonal cut on one side.,866
00014014,True,A flat rectangular plate.,866
00019582,True,A tapered cylindrical object with a circular groove and a hole at the top.,866
00017537,True,A cylindrical ring with a stepped outer surface and a central hole.,866
00015335,True,A tapered rectangular block.,866
00013086,True,A cylindrical cup with a slightly tapered body.,866
00011050,True,A flat rectangular plate with two holes.,866
00010332,True,A cylindrical disc.,866
00016994,True,A cylindrical rod with a central through hole.,866
00016878,True,A rectangular block with a large central hole and smaller holes on opposite ends.,866
00016282,True,A cylindrical rod with a conical tip and a flanged base.,866
00015908,False,N/A,866
00014732,True,A bracket with a circular cutout and angled support.,866
00018185,True,A rectangular block with a sloped top and a circular hole through it.,866
00011668,True,A thin circular ring.,866
00015788,True,"A bracket-like component with a flat base, angled support, and a through hole.",866
00015436,True,A thin circular ring.,866
00012256,True,A cylindrical rod with a flanged base and a central hole.,866
00016896,True,A curved bracket with a U-shaped profile and a flat base.,866
00011559,True,A bent pipe with multiple angled sections and a flanged end.,866
00019775,True,A cylindrical rod.,866
00017947,True,A cylindrical disc with a rectangular indentation on the top surface.,866
00017033,True,A cylindrical rod with a flanged base.,866
00018760,True,A cylindrical rod with a flanged base and a conical tip.,866
00017518,True,A T-shaped bracket with a cylindrical rod and a flanged end.,866
00013329,True,A rectangular block with a sloped top surface.,866
00012638,True,A cylindrical rod with a stepped profile.,866
00014509,True,A hollow cylindrical rod with a tapered end.,866
00013065,True,A cylindrical rod with a conical tip.,866
00015610,True,A rectangular block with a stepped cutout on one side.,866
00010419,True,A cylindrical disc with a central hole.,866
00012083,True,A flat rectangular plate.,866
00012752,True,A cylindrical rod with a conical tip and a flanged base.,866
00017066,True,A rectangular block with a triangular prism on one side.,866
00018313,True,A flat rectangular plate.,866
00019298,True,A sphere with a groove around its circumference.,866
00014337,True,A cylindrical cap with an internal groove.,866
00015701,True,A cylindrical disc with a central hole.,866
00015047,True,A square-based hollow pyramid.,866
00014927,True,A flat circular disc with a central hole.,866
00018519,True,A cylindrical rod.,866
00018368,True,A square plate with a central circular hole.,866
00016799,True,A hollow conical shape with a circular base.,866
00019558,True,"A flat, oval-shaped plate.",866
00013711,True,A cylindrical rod with multiple grooves.,866
00019998,True,A flat square plate.,866
00014187,True,"A flat, L-shaped bracket with a circular hole near the bend.",866
00014090,True,A rectangular block with a triangular prism on top.,866
00016626,True,A hollow square prism with open ends and a square hole through its center.,866
00016450,True,A square frame with a rectangular cross-section.,866
00017105,True,A stepped block with a sloped side and a flat top.,866
00019321,True,A sphere with a circular groove around its circumference.,866
00012264,True,A stepped rectangular block with an L-shaped cutout.,866
00013209,True,A cylindrical rod with a hexagonal midsection.,866
00016279,True,A cylindrical rod with a central through hole.,866
00017274,True,A square block with a central circular hole.,866
00019489,True,A cylindrical rod.,866
00014419,True,A rectangular block with two parallel through holes.,866
00018438,True,A flat circular disc with a central hole.,866
00018501,True,A cylindrical rod.,866
00017963,True,A cylindrical rod with a conical tip and a flanged base.,866
00014936,True,A tapered rectangular block.,866
00018075,True,A rectangular block.,866
00016796,True,A cylindrical disc with a central hole.,866
00013198,True,A wedge-shaped bracket with a rounded end and a circular hole.,866
00019366,True,A rectangular block with a tapered end.,866
00011543,True,A cylindrical rod with a conical tip and a flanged base.,866
00014637,True,A cylindrical rod with a rectangular plate attached perpendicularly.,866
00017809,True,A cylindrical disc with a central hole and a raised circular flange.,866
00019592,True,A cylindrical rod with a through hole and a partial cutout.,866
00019356,True,A cylindrical rod with a flanged base and a rounded tip.,866
00016447,True,A cube with a triangular prism on top.,866
00018204,True,"A flat, trapezoidal plate.",866
00011678,True,A cylindrical ring with a stepped outer surface.,866
00017306,True,A rectangular block with a stepped top and sloped side.,866
00016934,True,A rectangular block with a stepped cutout and a sloped edge.,866
00013674,True,A cylindrical disc with a central groove.,866
00010455,True,A flat square plate.,866
00018023,True,A hollow cylindrical rod with a flanged base.,866
00012208,True,A cylindrical block with a rectangular extension on one side.,866
00016284,True,A hollow cylindrical ring.,866
00019578,True,"A flat, rectangular plate with a tapered edge.",866
00012442,True,A cylindrical rod with a conical tip and a flanged base.,866
00017163,False,N/A,866
00019479,True,A flat circular disc.,866
00019439,True,A flat square plate.,866
00016078,True,A cylindrical rod with a flanged base.,866
00017168,False,N/A,866
00016694,True,A cube.,866
00016895,True,A curved block with a concave top surface and flat base.,866
00013904,True,A rectangular block with a triangular prism on top.,866
00011451,True,An irregularly shaped flat plate with a large curved cutout and a circular hole.,866
00017655,True,A cylindrical rod with a flanged base.,866
00014242,True,A sphere.,866
00017279,True,A square plate with a central circular hole.,866
00014617,True,A rectangular block with a sloped top surface.,866
00015791,True,A cylindrical rod with a flanged base and a rounded tip.,866
00010779,True,A cylindrical ring with a cutout and a side hole.,866
00013901,True,A hemisphere.,866
00015913,True,A cylindrical cap with a partial cutout and a flat top.,866
00018217,True,A wedge-shaped block with a cylindrical hole.,866
00010719,True,A disc with concentric raised rings.,866
00012972,True,A square plate with a central hole and beveled edges.,866
00016943,True,A stepped rectangular block with a sloped top surface.,866
00016190,True,A rectangular block.,866
00012035,True,A rectangular block with a cylindrical rod protruding from one face.,866
00017164,True,A square plate with a central circular hole.,866
00017021,True,A cylindrical rod with a flanged base and a rectangular block midsection.,866
00015801,True,A funnel-shaped object with a cylindrical base and a central hole.,866
00011673,True,A cylindrical ring with a central hole.,866
00018025,True,A tapered block with a central through hole.,866
00010007,True,A cylindrical rod with a side handle and a circular base.,866
00017457,True,A rectangular block with a stepped top surface.,866
00015051,True,A rectangular block with two through holes and curved indentations on the sides.,866
00016709,True,A rectangular block with a vertical extension and a hole.,866
00012719,True,A spherical object partially enclosed by a circular ring.,866
00010771,True,A rectangular rod with a notched end.,866
00017739,True,A rectangular block with a semi-cylindrical top and a circular hole through the center.,866
00013936,True,A cylindrical rod with two grooves and a central through hole.,866
00017779,True,A flat rectangular plate.,866
00014323,True,A cube with a circular through hole on one face.,866
00013166,True,A T-shaped block with varying thickness.,866
00019680,True,A cube with a triangular prism on top of one face.,866
00016825,True,A round disc with a central hole and a groove around its circumference.,866
00015703,True,A rectangular block with three circular through holes.,866
00012841,True,A cylindrical rod with a conical tip.,866
00017458,False,N/A,866
00015250,True,A rectangular block with a semicircular top.,866
00017514,True,A cube with a pyramid on top of one face.,866
00013312,True,Interlocking rings.,866
00013432,True,A rectangular block with a central notch on one side.,866
00013923,True,A square frame with a hollow center.,866
00010155,True,A cylindrical ring.,866
00018523,True,A cylindrical rod with a slanted top.,866
00016945,True,A square plate with a central circular hole.,866
00018378,True,An L-shaped bracket with a cylindrical hole on one end.,866
00014117,True,A flat circular disc.,866
00017744,True,A flat square plate.,866
00019000,True,A curved hook-like structure with a flat profile.,866
00018759,True,A cylindrical rod with a flanged base.,866
00014194,True,A cylindrical component with a central hole and flanges on both sides.,866
00019929,True,A cone.,866
00018413,True,A flat square plate.,866
00017713,True,A cylindrical rod.,866
00018366,True,A stepped block with a sloped side.,866
00014777,True,A cylindrical ring with a central hole.,866
00012055,True,A cylindrical ring with a central hole and flanged edges.,866
00012070,True,A cylindrical rod with a conical tip.,866
00019023,True,A cylindrical rod.,866
00016428,True,A conical funnel with a cylindrical spout and a circular base.,866
00014756,True,A T-shaped bracket with a flat base and vertical support.,866
00018334,True,A round table with a cylindrical base and a circular top.,866
00015630,True,A cylindrical rod.,866
00011674,True,A cylindrical ring with a recessed inner groove.,866
00018954,True,A hollow cylindrical ring.,866
00011677,True,A flat circular ring.,866
00018309,True,A thin rectangular plate.,866
00014007,True,A cylindrical sleeve with two grooves and a central through hole.,866
00018363,True,A cube with a circular through hole.,866
00013476,True,A cylindrical rod with a flanged base.,866
00016416,True,A cylindrical cup with a flanged base and a central hole.,866
00014941,True,A rectangular plate with a large circular hole and a small hole near one edge.,866
00013928,True,A flat rectangular block with a long rectangular cutout.,866
00017309,True,A square plate with a central circular hole.,866
00017176,True,A square plate with a central circular hole.,866
00018428,True,An open-top square container with sloped sides.,866
00012965,True,A toroidal ring with a central groove.,866
00018968,True,A flat disc with a central hole.,866
00011164,True,A hollow cylindrical cup with a slightly tapered shape.,866
00013604,True,A cylindrical disc with a central hole and a groove around its circumference.,866
00017158,True,A square plate with a central circular hole.,866
00013302,True,A round disc with two holes and a raised edge.,866
00014164,True,A disc with a central hole and a raised circular flange.,866
00019540,True,A cylindrical rod with a flanged base.,866
00011358,True,A trapezoidal block.,866
00019074,True,A cylindrical rod with a conical tip and a flanged base.,866
00018188,True,A flat circular disc with a central hole.,866
00015819,True,A cylindrical rod with a flanged base and a central hole.,866
00015941,True,A square plate with a central circular hole and four corner holes.,866
00017215,True,A thin circular ring.,866
00014309,True,A curved pipe with threaded ends.,866
00011867,True,A flat circular ring with multiple holes around the perimeter.,866
00011178,True,A cylindrical object with a hexagonal socket and a flanged base.,866
00011671,True,A circular ring with a grooved outer surface.,866
00018170,True,A rectangular block with a tapered top.,866
00017151,False,N/A,866
00017683,True,An L-shaped bracket.,866
00019969,True,A cylindrical rod with a flanged head.,866
00014913,True,A flat square plate.,866
00015902,True,A hemisphere.,866
00019710,True,A cylindrical rod with a hexagonal flange and a threaded end.,866
00018989,True,A cylindrical rod with a flanged base and a central hole.,866
00014733,True,"A round, domed object with a central hole and a flat base.",866
00012268,True,A pendant light fixture with a dome-shaped shade and a central rod.,866
00014557,True,A cylindrical rod.,866
00017746,True,A cylindrical rod with a flanged base and a central hole.,866
00012041,True,"A long, thin cylindrical rod.",866
00016603,True,A cylindrical rod with a flanged base and a conical tip.,866
00011580,True,A flat rectangular plate.,866
00017823,True,A trapezoidal prism.,866
00012482,True,A double-concave cylindrical disc.,866
00019762,True,A cylindrical rod with a semi-circular end.,866
00013532,True,A cylindrical disc with a central hole and a raised circular section on one side.,866
00013447,True,A flat cylindrical disc.,866
00017073,True,A rectangular block with a triangular prism on one side.,866
00017610,True,A cylindrical rod with a flanged base.,866
00019326,True,A rectangular block with a tapered end.,866
00017607,True,A cylindrical rod with a flanged base and a central hole.,866
00012088,True,A tapered rectangular block.,866
00017961,True,A rectangular block with a sloped top surface.,866
00012163,True,A cylindrical cup with a slightly tapered body.,866
00015443,True,A cylindrical rod with a conical tip and a flanged base.,866
00014939,True,A cylindrical rod with a conical tip.,866
00014128,True,A disc with a central hole.,866
00011170,True,A flat circular disc with a central hole.,866
00014932,True,A wedge-shaped block with a circular through hole.,866
00015824,True,A flat rectangular plate.,866
00016704,True,A rectangular block with a sloped top surface.,866
00014639,True,A rectangular block with a sloped top surface.,866
00011185,True,A cylindrical disc with a central hole and a raised rim.,866
00012360,True,A cylindrical bushing with a flange and a central hole.,866
00016430,True,A long cylindrical rod with a cube at one end.,866
00016944,False,N/A,866
00014255,True,A cylindrical block with a central through hole.,866
00011083,True,A cylindrical rod with a conical tip and a flanged base.,866
00010240,True,A cylindrical rod.,866
00015310,True,A cylindrical rod with a circular loop at one end and a flanged base at the other.,866
00012300,True,A cylindrical rod with a flanged base and a cross-shaped cutout on top.,866
00012778,True,A tapered rectangular block with a hole near one end.,866
00015038,True,A rectangular block with a sloped top face.,866
00014245,True,A cylindrical rod with a flanged base and a central hole.,866
00017643,True,A stepped conical structure with concentric circular grooves.,866
00017932,True,A rectangular block with a cylindrical hole through one end.,866
00013064,True,A cylindrical rod with a conical tip.,866
00016255,True,A cylindrical rod with a semi-circular groove along its length.,866
00018615,True,A cylindrical rod with a central hole.,866
00017747,True,A rectangular block with a sloped top surface.,866
00014950,True,A trapezoidal block.,866
00017850,True,"A flat, square plate.",866
00013083,True,A cylindrical rod with a conical tip and a flanged base.,866
00015381,True,A three-way pipe connector with cylindrical openings.,866
00016899,True,A flat rectangular plate.,866
00011351,True,A V-shaped channel with a flat base and sloped sides.,866
00014530,True,A cylindrical rod.,866
00015724,True,A cylindrical rod with a rounded head and a flanged base.,866
00017061,True,A square pyramid with a central through hole.,866
00012298,True,A heart-shaped object with a flat base.,866
00011082,True,A cylindrical rod.,866
00012435,True,A sphere with a circular indentation on one side.,866
00010661,True,A flat rectangular plate with a raised edge on one side.,866
00017071,True,A complex block with cylindrical protrusions and circular cutouts.,866
00013602,True,A cylindrical rod with a flanged base.,866
00019812,True,A C-shaped bracket with a small hole near one end.,866
00018513,True,A cylindrical rod.,866
00013539,True,A hollow square pyramid with an open base.,866
00015451,True,A flat rectangular plate with two circular holes.,866
00011249,True,A T-shaped pipe connector with cylindrical openings.,866
00019791,True,A rectangular block with a triangular prism on top.,866
00019934,True,A tapered cylindrical rod with a flanged base.,866
00016280,True,A tapered cylindrical tube with a flared base and a central through hole.,866
00017930,True,A flat rectangular plate.,866
00017336,False,N/A,866
00019436,True,"A flat, square plate.",866
00017837,True,A cylindrical rod with a flanged base and a flat top.,866
00010470,True,An L-shaped bracket with a flat base and vertical support.,866
00019698,True,A wedge-shaped block with a triangular cross-section.,866
00019954,True,"A flat, circular disc with a central groove.",866
00018035,True,A rectangular block with a sloped top face.,866
00018228,True,A quarter-cylinder block.,866
00017403,True,A tapered rod with a flat end and a pointed tip.,866
00013073,True,A cylindrical rod with a conical tip and a flanged base.,866
00019476,True,A flat circular disc.,866
00013296,True,A flat square plate.,866
00010179,True,A cylindrical block with three evenly spaced holes on the top surface.,866
00010654,True,A rectangular block with a triangular prism on top.,866
00010716,True,A thin cylindrical disc.,866
00019234,True,A circular flange with multiple holes and a central cylindrical hub.,866
00010019,True,A rectangular block with a triangular prism on top.,866
00014139,True,A tapered cylindrical tube with a flanged base and a central through hole.,866
00017700,True,A cube with a pyramid on top of one face.,866
00016679,True,A cylindrical disc.,866
00015034,True,A quarter-circle wedge with a flat base and a sloped top.,866
00011603,True,A triangular block with a circular hole through it.,866
00016905,True,"A double-lobed, symmetrical object with a central constriction.",866
00019717,True,A cylindrical bushing with a central hole and a flanged edge.,866
00019911,True,A cylindrical ring with a central hole.,866
00012506,True,A cylindrical rod with a conical tip and a flanged base.,866
00012623,True,A rectangular block.,866
00018749,True,A cylindrical ring with a central hole.,866
00015457,True,A cylindrical disc with a central hole.,866
00014943,True,A wedge-shaped block with a circular hole through it.,866
00013606,True,A cylindrical rod with a conical tip and a flanged base.,866
00016932,True,A tapered rectangular rod.,866
00015850,True,A cylindrical rod with a flanged base.,866
00013295,True,A cylindrical pipe with a wider flanged base.,866
00018474,True,A rectangular block with one rounded end.,866
00016917,True,A cup with a handle.,866
00017721,True,A cylindrical rod with a conical tip and a flanged base.,866
00012255,True,A square tray with sloped sides.,866
00017727,True,A cylindrical rod with a central groove.,866
00019138,True,A cylindrical rod with a conical tip and a flanged base.,866
00019150,True,A cube with multiple circular holes on its faces.,866
00014937,True,A rectangular frame with a large central cutout.,866
00013759,True,A tapered rectangular block with a vertical slot.,866
00017848,True,A cylindrical rod with a flanged base and a rounded tip.,866
00017644,True,Three connected cylindrical rods forming a T-shape.,866
00017805,True,A cylindrical rod with a flanged base and a central hole.,866
00018147,True,A rectangular block.,866
00010398,True,A rectangular block with a sloped top surface.,866
00017945,True,A rectangular block with a curved top surface.,866
00012921,True,An L-shaped bracket with flat surfaces.,866
00013601,True,A cylindrical rod with two flanges and a stepped profile.,866
